Sender Identifier: regionB
Poll interval: 100ms
"Start Time:java.util.GregorianCalendar[time=1304425788213,areFieldsSet=true,areAllFieldsSet=true,lenient=true,zone=sun.util.calendar.ZoneInfo[id=""UTC"",offset=0,dstSavings=0,useDaylight=false,transitions=0,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2011,MONTH=4,WEEK_OF_YEAR=19,WEEK_OF_MONTH=1,DAY_OF_MONTH=3,DAY_OF_YEAR=123,DAY_OF_WEEK=3,DAY_OF_WEEK_IN_MONTH=1,AM_PM=1,HOUR=0,HOUR_OF_DAY=12,MINUTE=29,SECOND=48,MILLISECOND=213,ZONE_OFFSET=0,DST_OFFSET=0]"
Data format: Time in millis: File content on S3
1304425824242:4 1304425818600
1304425824382:4 1304425818600
1304425824494:4 1304425818600
1304425824614:4 1304425818600
1304425824726:4 1304425818600
1304425824842:4 1304425818600
1304425824958:4 1304425818600
1304425825082:4 1304425818600
1304425825202:4 1304425818600
1304425825314:4 1304425818600
1304425825430:4 1304425818600
1304425825550:4 1304425818600
1304425825666:4 1304425818600
1304425825786:4 1304425818600
1304425825902:4 1304425818600
1304425826014:4 1304425818600
1304425826126:4 1304425818600
1304425826242:4 1304425818600
1304425826358:4 1304425818600
1304425826470:4 1304425818600
1304425826598:4 1304425818600
1304425826714:4 1304425818600
1304425826830:4 1304425818600
1304425826942:4 1304425818600
1304425827062:4 1304425818600
1304425827174:4 1304425818600
1304425827294:4 1304425818600
1304425827406:4 1304425818600
1304425827518:4 1304425818600
1304425827634:4 1304425818600
1304425827994:4 1304425818600
1304425828106:4 1304425818600
1304425828218:4 1304425818600
1304425828334:4 1304425818600
1304425828450:4 1304425818600
1304425828562:4 1304425818600
1304425828674:4 1304425818600
1304425828786:4 1304425818600
1304425828898:4 1304425818600
1304425829014:4 1304425818600
1304425829186:4 1304425818600
1304425829302:4 1304425818600
1304425829418:4 1304425818600
1304425829542:4 1304425818600
1304425829654:4 1304425818600
1304425829770:4 1304425818600
1304425829882:5 1304425829518
1304425830006:5 1304425829518
1304425830118:5 1304425829518
1304425830274:5 1304425829518
1304425830394:5 1304425829518
1304425830506:5 1304425829518
1304425830626:5 1304425829518
1304425830742:5 1304425829518
1304425830854:5 1304425829518
1304425830966:5 1304425829518
1304425831082:5 1304425829518
1304425831194:5 1304425829518
1304425831310:5 1304425829518
1304425831502:5 1304425829518
1304425831614:5 1304425829518
1304425831726:5 1304425829518
1304425831838:5 1304425829518
1304425831954:5 1304425829518
1304425832066:5 1304425829518
1304425832182:5 1304425829518
1304425832302:5 1304425829518
1304425832418:5 1304425829518
1304425832534:5 1304425829518
1304425832650:5 1304425829518
1304425832766:5 1304425829518
1304425832878:5 1304425829518
1304425832990:5 1304425829518
1304425833102:5 1304425829518
1304425833214:5 1304425829518
1304425833330:5 1304425829518
1304425833454:5 1304425829518
1304425833570:5 1304425829518
1304425833682:5 1304425829518
1304425833794:5 1304425829518
1304425833910:5 1304425829518
1304425834042:5 1304425829518
1304425834158:5 1304425829518
1304425834362:5 1304425829518
1304425834474:5 1304425829518
1304425834590:5 1304425829518
1304425834702:5 1304425829518
1304425834818:5 1304425829518
1304425834934:5 1304425829518
1304425835046:5 1304425829518
1304425835158:5 1304425829518
1304425835283:5 1304425829518
1304425835402:5 1304425829518
1304425835518:5 1304425829518
1304425835999:5 1304425829518
1304425836118:5 1304425829518
1304425836231:5 1304425829518
1304425836347:5 1304425829518
1304425836459:5 1304425829518
1304425836575:5 1304425829518
1304425836687:5 1304425829518
1304425836799:5 1304425829518
1304425836915:5 1304425829518
1304425837027:5 1304425829518
1304425837619:5 1304425829518
1304425837731:5 1304425829518
1304425837843:5 1304425829518
1304425837963:5 1304425829518
1304425838075:5 1304425829518
1304425838187:5 1304425829518
1304425838299:5 1304425829518
1304425838411:5 1304425829518
1304425838527:5 1304425829518
1304425838643:5 1304425829518
1304425838755:5 1304425829518
1304425838867:5 1304425829518
1304425838979:5 1304425829518
1304425839095:5 1304425829518
1304425839211:5 1304425829518
1304425839323:5 1304425829518
1304425839435:5 1304425829518
1304425839547:5 1304425829518
1304425839667:5 1304425829518
1304425839779:5 1304425829518
1304425839891:5 1304425829518
1304425840007:5 1304425829518
1304425840119:5 1304425829518
1304425840231:5 1304425829518
1304425840347:5 1304425829518
1304425840459:5 1304425829518
1304425840579:5 1304425829518
1304425840707:5 1304425829518
1304425840819:6 1304425840392
1304425840943:6 1304425840392
1304425841059:6 1304425840392
1304425841175:6 1304425840392
1304425841287:6 1304425840392
1304425841399:6 1304425840392
1304425841515:6 1304425840392
1304425841627:6 1304425840392
1304425841743:6 1304425840392
1304425841859:6 1304425840392
1304425841971:6 1304425840392
1304425842083:6 1304425840392
1304425842195:6 1304425840392
1304425842307:6 1304425840392
1304425842423:6 1304425840392
1304425842539:6 1304425840392
1304425842651:6 1304425840392
1304425842767:6 1304425840392
1304425842879:6 1304425840392
1304425842995:6 1304425840392
1304425843115:6 1304425840392
1304425843227:6 1304425840392
1304425843343:6 1304425840392
1304425843459:6 1304425840392
1304425843571:6 1304425840392
1304425843683:6 1304425840392
1304425843795:6 1304425840392
1304425843915:6 1304425840392
1304425844047:6 1304425840392
1304425844159:6 1304425840392
1304425844271:6 1304425840392
1304425844387:6 1304425840392
1304425844607:6 1304425840392
1304425844719:6 1304425840392
1304425844831:6 1304425840392
1304425844943:6 1304425840392
1304425845059:6 1304425840392
1304425845171:6 1304425840392
1304425845283:6 1304425840392
1304425845415:6 1304425840392
1304425845527:6 1304425840392
1304425845639:6 1304425840392
1304425845755:6 1304425840392
1304425845871:6 1304425840392
1304425845991:6 1304425840392
1304425846111:6 1304425840392
1304425846243:6 1304425840392
1304425846383:6 1304425840392
1304425846515:6 1304425840392
1304425846627:6 1304425840392
1304425846747:6 1304425840392
1304425846859:6 1304425840392
1304425846979:6 1304425840392
1304425847091:6 1304425840392
1304425847207:6 1304425840392
1304425847319:6 1304425840392
1304425847439:6 1304425840392
1304425847551:6 1304425840392
1304425847667:6 1304425840392
1304425847783:6 1304425840392
1304425847899:6 1304425840392
1304425848011:6 1304425840392
1304425848123:6 1304425840392
1304425848235:6 1304425840392
1304425848347:6 1304425840392
1304425848467:6 1304425840392
1304425848579:6 1304425840392
1304425848695:6 1304425840392
1304425848807:6 1304425840392
1304425848919:6 1304425840392
1304425849035:6 1304425840392
1304425849171:6 1304425840392
1304425849291:6 1304425840392
1304425849407:6 1304425840392
1304425849759:6 1304425840392
1304425849875:6 1304425840392
1304425849987:6 1304425840392
1304425850119:6 1304425840392
